Company Name,City,State,CAGE Code,NAICS
"SYSTEMS APPLICATION & TECHNOLOGIES INC",,CA,,336411
"VELO AVIATION LLC",,CA,,336413
"SOI AVIATION, INC.",,CA,,336413
"SYSTEMS ENGINEERING SUPPORT CO.",,CA,,334511
"PACIFIC DEFENSE STRATEGIES, INC.",,CA,,334511
"WILLIAMS AEROSPACE & MANUFACTURING INC",,CA,,336413
"ARETE ASSOCIATES",,CA,,334511
"AERO TURBINE, INC",,CA,,336412
"LLAMAS PLASTICS INC",,CA,,336413
"IACCESS TECHNOLOGIES INC",,CA,,336411
"FORMWORKS PLASTICS, INC.",,CA,,336413
"FXC CORPORATION",,CA,,336413
"ADEPT FASTENERS INC",,CA,,332999
"NOROTOS, INC",,CA,,334511
"MAST TECHNOLOGIES, LLC",,CA,,334511
"AEROMETALS, INC.",,CA,,336413
"CONDOR PACIFIC INDUSTRIES, INC.",,CA,,334511
"HYDRAULICS INTERNATIONAL, INC.",,CA,,336413
"GENERAL NUCLEONICS, INC.",,CA,,336413
"CORGISTICS, INC.",,CA,,336992
"PHYSICAL OPTICS CORPORATION",,CA,,336411
"NEW DIRECTIONS TECHNOLOGIES, INC.",,CA,,334511
"MERCURY MISSION SYSTEMS LLC",,CA,,334290
"MDF TECHNOLOGIES INC",,CA,,334290
"QPI PRO, INC.",,CA,,336992
"JOHNSON MANUFACTURING, INC.",,CA,,336413
"CREATIVE DIGITAL SYSTEMS INTEGRATION, INC.",,CA,,334511
"MACHINA LABS INC",,CA,,333517
"AIRCRAFT TECHNICAL DEVELOPMENT, INC.",,CA,,336413
"DATRON WORLD COMMUNICATIONS, INC.",,CA,,334290
"AMPEX DATA SYSTEMS CORPORATION",,CA,,334290
"DC PRECISION LLC",,CA,,332994
"ASTRO-TEK INDUSTRIES, LLC",,CA,,332710
"NEWVAC, LLC",,CA,,334511
"FEDERAL INDUSTRIES, INC.",,CA,,336413
"BERKUT ENGINEERING AND DESIGN,",,CA,,336411
"CONNECTEC COMPANY, INC.",,CA,,332994
"TELEMETRY & COMMUNICATIONS SYSTEMS, INC.",,CA,,334511
"AMPLITUDE LASER, INC.",,CA,,334511
"NEODORA LLC",,CA,,332710
"INTELLISENSE SYSTEMS INC",,CA,,334511
"FLIGHTWAVE AEROSPACE SYSTEMS CORPORATION",,CA,,336411
"MELLINGER ENGINEERING, INCORPORATED",,CA,,332919
"RIX INDUSTRIES",,CA,,336413
"NORDEN MILLIMETER, INC.",,CA,,334511
"MANEY AIRCRAFT, INC.",,CA,,336413
"AMADA AMERICA INC.",,CA,,333517
"PACIFIC IC SOURCE",,CA,,333517
"INTERNATIONAL PRECISION, INC",,CA,,336413
"PACIFIC CONSOLIDATED INDUSTRIES LLC",,CA,,332999
"CYAN SYSTEMS, INC.",,CA,,334511
"EON INSTRUMENTATION, INC.",,CA,,334511
"LOGISTICAL SUPPORT LLC",,CA,,336413
"INDUSTRIAL ELECTRONIC ENGINEERS, INC.",,CA,,334511
"INFINITY PRECISION INC",,CA,,336413
"DYE PRECISION CNC, INC.",,CA,,332710
"SGB ENTERPRISES, INC.",,CA,,336413
"ARNOLD MAGNETICS CORPORATION",,CA,,334290
"APEX MANUFACTURING COMPANY, INC.",,CA,,336413
"FORREST MACHINING LLC",,CA,,336413
"GREGORY C FORBES",,CA,,336412
"PHAOSTRON INSTRUMENT AND ELECTRONIC COMPANY",,CA,,334511
"SAI INDUSTRIES",,CA,,332994
"MELLINGER ENGINEERING GROUP, LLC",,CA,,332919
"PACIFIC MARITIME INDUSTRIES CORP.",,CA,,332999
"DESIGN WEST TECHNOLOGIES INC",,CA,,332999
"LINMARR ASSOCIATES, INC.",,CA,,336413
"STANDARD AERO PARTS, INC",,CA,,336413
"E.A.S. MANUFACTURING CO., INC.",,CA,,332710
"JHAWAR INDUSTRIES, LLC",,CA,,333517
"SEQUOIA DEFENSE LLC",,CA,,336413
"HC MERCHANDISERS, INC.",,CA,,336413
